id,title,volume,priority,hook_type,characters_est,locations_est,recommended_clips,recommended_input_chars,viral_angle,source_volume_url,story_anchor
zby-v01-001,李通判,卷一,A,还阳骗局+反噬,4,2,8-12,2500-5000,代死交易与反转惩罚,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,李通判
zby-v01-002,蔡书生,卷一,A,闹鬼宅+一句话破局,2,1,4-6,500-1500,低成本高记忆点反转,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,蔡书生
zby-v01-003,南昌士人,卷一,B,亡友托孤+魄追人,2,3,6-10,1200-2800,情义与惊悚同框,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,南昌士人
zby-v01-004,曾虚舟,卷一,B,疯僧神断,3,2,5-8,800-2200,神棍人设可系列化,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,曾虛舟
zby-v01-005,锺孝廉,卷一,B,前世杀业梦审判,3,3,6-9,1500-3000,宿命审判冲击感强,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,鍾孝廉
zby-v01-006,南山顽石,卷一,A,诗鬼纠缠+庙中镇邪,4,4,10-14,3000-5500,文人怪谈可做高质感,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,南山頑石
zby-v01-007,酆都知县,卷一,A,下井见阴司+关神现身,5,4,10-14,2500-5000,世界观大开可爆点剪辑,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,酆都知縣
zby-v01-008,骷髅报仇,卷一,S,作恶即报,2,2,4-6,500-1200,短平快强惩罚叙事,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,骷髏報仇
zby-v01-009,骷髅吹气,卷一,S,密室骷髅惊吓,2,1,4-6,500-1200,极低成本恐怖短片,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,骷髏吹氣
zby-v01-010,赵大将军刺皮脸怪,卷一,A,武将硬刚怪物,4,2,6-9,1200-2600,动作+怪谈混剪友好,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,趙大將軍刺皮臉怪
zby-v01-011,狐生员劝人修仙,卷一,B,狐仙科举设定,2,1,5-7,1000-2200,设定新奇适合评论区讨论,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,狐生員勸人修仙
zby-v01-012,煞神受枷,卷一,A,迎煞夺魂+二十年后追偿,4,2,7-10,1800-3200,长尾因果非常适合分段连载,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,煞神受枷
zby-v01-013,张士贵,卷一,B,恶鬼报复与幻死,4,2,6-8,1200-2600,反常识结尾可做标题党,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,張士貴
zby-v01-014,杜工部,卷一,B,婚夜童子吹烛致死,3,1,4-6,700-1800,婚礼场景反差强,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,杜工部
zby-v01-015,胡求为鬼球,卷一,S,被鬼神当球踢,3,1,3-5,500-1000,视觉冲击极强的超短篇,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,胡求為鬼球
zby-v01-016,江中三太子,卷一,B,食鳖遭祸与家灾预兆,4,3,6-9,1300-2600,劝诫型题材有传播讨论面,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,江中三太子
zby-v01-017,田烈妻,卷一,A,鬼告状断冤案,4,3,8-12,2000-3800,女冤叙事+公堂对质张力高,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,田烈妻
zby-v01-018,观音堂,卷一,B,古庙异象,3,2,5-7,900-1800,氛围感题材适合中短视频,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,觀音堂
zby-v01-019,常格诉冤,卷一,A,尸诉冤案,4,3,7-10,1600-3000,法理与诡异结合易出圈,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,常格訴冤
zby-v01-020,蒲州盐枭,卷一,B,盐枭黑案与报应,4,3,7-10,1600-3200,犯罪奇案向适合连续更新,https://zh.wikisource.org/zh-hans/%E5%AD%90%E4%B8%8D%E8%AA%9E/%E5%8D%B71,蒲州鹽梟
